title,questions,answers
fstring doesn't work on drum,"python 3.5 doesn't have the f string feature and we don't have enough privilege to update new version of python on lab machine.

I can surely do the lab at home using my computer but it actually feels better going to the lab :D","I wrote somewhere, but I should have made it clearer, that on the School machines, you can run python3.6 by executing python3.6"
Lab_Q4 on standard deviation answer,,
How much maths knowledge is expected?,"Just wondering what the expected level of mathematics knowledge is, for when the closed book exams roll along. Using the current lab as an example, is calculating standard deviation manually (rather than having knowledge of and using the built-in maths/statistics modules) similar to anything we might encounter in the exams?","Hi Scott, I am not expecting you to remember any maths in the exam. The lectures and the labs sometimes have mathematical material, but it is usually treated as more advanced and optional. Commonsense is essentially all you need to do well in this course."
Lab1_task6 distance to the polygon edges,"I noticed you described ""distance from centre to edges of the octagon"" was 100, however when I drew it, I found unless I set the distance from centre to the vertices of the octagon as 100, the shape would not quite fit with your example. 

I measured your sample figure; ratio of (distance from the top of triangle to the centre) / (distance from edge to the centre) is close to 1.95, which is in fact 180 / 100 / cos(pi / 8), but rather, (distance from the top of triangle to the centre) / (distance from octagon vertices to the centre) is close to 180 / 100. That means you might have set""distance from centre to vertices of the octagon"" as 100, not distance to edges.","Hi Feng, indeed, I wanted to say, I should have said, ""distance to a vertex of the inscribed octagon"". Thanks for pointing this out.

To display Python code, you should not copy and paste it as text, but rather click on the <> button that allows you to insert Python code and run it:"
Lab exercise,Will lab exercise be uploaded anywhere? so that students who not attending the lab can have a look and do those exercise in their own time?,"Solutions are posted one week later, in Resources, and also under Challenges for the flagged ones."
Slack Group For Discussion,,
Jupyter Notes for Lecture 2,"Please if you also upload the Jupyter notes for today's lecture as you had uploaded for lecture 1.

You have uploaded the text file and not the Jupyter file.","Hi Himanshu, I have done it already, under Resources, and checking again, it seems to be the right file."
Submitting the Quiz,Has the way to submit the quiz been published? Or do we just complete it in Ed under assignments?,"You can edit the file directly in Ed, or you can download the file, edit it locally, and then upload it. Eventually you have to click the Submit button. You can submit it as many times as you like. The last submitted version will be assessed."
Quiz performance,"Quiz will be tested for performance? like with some really big numbers or it will be just the numbers we have in the pdf?

By performance i mean memory, runtime and algorithm?","No no no, the PDF and associated tests in Ed show just examples of outputs, it just illustrates what the exercise is about, but I will use other test cases, and testing has to be taken seriously (will talk
more about it on Monday). For this quiz, performance should not be an issue, the list won't be large."
query regarding quiz,"I am relatively new to programming environment,  is the quiz only to do testing on the output of the code or do we have to make any changes in the code. If I am wrong I request you to highlight what is required to do.",if you need more detail re-watch lecture video (2:21:45) on moddle where Eric explains the requirement(how the list should be generated).
About special case in Quiz 1,"If the current algorithm can handle the situation that there is only one element in the list, can we still call this situation a special case? In my opinion, classified discussion will be needed when the current method cannot handle some case. Am I correct?

Or we defined the 1-element situation a special case just because of the consideration about time complexity?","Hi Jianyu, if you prefer, we can talk about ""simplest cases"". An empty list is the simplest case. Then a list of length 1 is the next simplest case... We should include what we consider to be all ""simplest cases"" in our test cases."
How many line of code?,"Whoever finished the quiz1, would you mind sharing how many lines of code you wrote to complete M and N. Just to get a hint on improvement, I'm very sure mine can be reworked to someting smaller. 

Mine:

M = 11 Line

N = 14 Line","For this short coding competition, I just implemented 2 line code to create M, but I don't think that shorter implementation is always better because it doesn't guarantee performance or readability. 

We should be careful not to be blinded by tangible figures."
"Lab 2, Question 3","Hi there, I'm having trouble understanding what this question means.

It seems like it's asking to find all possible arrangements of numbers 1 - 9, in the pattern described, such that the multiplication is true and also the addition of the columns are all equal.

However the given examples do not hold true when arranged in this way. I also don't understand what the 4th and fifth rows of asterisks are meant to represent (possibly space for larger numbers, up to seven digits? and then a row representing the addition of the columns?) I'm obviously misunderstanding, is there some other way it can be explained?

","The two solutions show the multiplicand, the multiplier and the result of the multiplication (first, second and last line) but not the intermediate results (third and fourth lines)."
Shall I post lab code?,"I just find that the due date of chanllenge iscoming.

I am not sure if it is necessary to post the code.

Does or it is okay if we just practised it ourselves?","Hi Keqiao, as mentioned in course outline and during lectures, labs are just for you to practice, they are not assessed."
Please never share your code in any forum discussion,,"code can be posted after programs have been assessed (for quizzes and assignments) and after solutions have been released (for labs), but should not be posted before. This is of course essential for quizzes and assignments; posting code before submissions have been assessed is reprehensible and punishable by University policy on plagiarism. For labs, which are not assessed, it is indeed preferable to let everyone give their best shot for a week, till solutions are released. Then sharing code, comparing solutions, discussing the pros and cons of different designs and implementations, is a very valuable exercise. "
"Lab 2 ,Q2","Hi professor, I have a question about the definition of 'perfect numbers'. As you input 100, and the result is 6 and 28. Does that mean there is only 2 perfect numbers range from 1 to 100. So how to explain 12 = 1 + 2 + 3 + 6, I think that 12 also has the characteristics of perfect numbers. Is that included? Thanks","Hi, mathematically, perfect number is equal to the sum of its proper divisors. Proper divisors here means a divisor other than itself. So 6 and 28 is a perfect number because sum of proper divisors of 6 {1,2,3} is the number 6 itself. Hope this helps, thanks."
"Lab2, cycloidal_curves.pdf updated",,"The definition of period was incorrect in the original version, fixed in current version; thank you to Junnan Chen for having pointed it out."
lab2 perfect number,"I think '1' is also a perfect number because 1 is a only divisor for itself and 1=1,therefore, 1 could be a perfect number

Or 1 is special condition?","Hi Chenyang, we take only the proper divisors, meaning, excluding the number itself."
Course consultation,Hi can any one please tell me where exactly will be consultation conduction on tuesday from 6 30 pm to 8 30 pm.  I mean the location???,See course outline.
Problem with Quiz 1,"I was working on quiz 1 when I received an error and the code wouldn't execute anymore. I restarted by web browser and now I can't access quiz 1, it says ""There are no assignments yet. Check back later."".

I've tried restarting my browser, clearing history and cookies, logging out and back in, but I still can't access the quiz again to finish my attempt.

Is there something that I'm doing incorrectly to access the quiz?","Indeed, there is a problem,, no more message on this please, it might take some time to get back."
Quiz 1 disappeared,"The Quiz 1 disappeared on 22:30 PM,today, I notice that the due date is Thursday.

so I still code it...",It is back.
Case in Quiz 1,"In the special case (quiz 1, second exercise: N) in which all the elements on the right have been taken already, should I take the rightmost element in the list or start from the left?

Let's say L is: 4, 2, 3, 1, 4, 4

After three steps N will be: 4, 4, 4

L will be: 4, 2, 3, 1, 4, 4, with the underline meaning it is taken

The next number should be 2 (go to the end of the list and if they are all taken start from the beginning) or 1, which is the rightmost number available?

Thank you","Hi, If I understand correctly based on the test cases and also the description, when an index is taken, get back to the left-most and get the unused value. Please correct me if I am wrong, thanks."
Lab 1 Q1,"in Lab 1, Qu 1 why is there an f in the print output statement:

print(f'{Celsius ... }')

I get the same output when i remove the f and use:

print('{Celsius ...}')

is it redundant or are there cases where it is important to include the f before the quote mark?","It seems to be a new function in python3.6. It is used to format string literals. 

You can find the details in (PEP 498) https://docs.python.org/3/whatsnew/3.6.html"
Lab2 Bayes,"It seems that I have difficulties understanding the question. As far as I know, Bayes is about conditional probability. I do not see anything related to that from the question.  I think just randomly rolled the dice and then record the result. Can anyone explain this for me. Thanks.",You need to compute the probability of a die being the chosen die given the value that is rolled.
where to submit the completed program,where to submit the completed program,If you go to the assessments tab and then click on quiz 1 you can enter your code where the comment asking for it is and then press submit which is next to run. I hope this is the right way to submit it because that's what I did.
String M requires 5 numbers,"I'm afraid I don't understand your reasoning for the answer you're giving for string M where only 4 numbers are generated.   The instruction requests 5 numbers: 1) middle, 2) first, 3) last, 4) second and 5) penultimate .  Therefore when a list of only 4 numbers is generated in L, one number must be repeated to get the correct result.   

The sample PDF indicates: 

""The generated list L is:

[3, 3, 0, 2]

Here is M:

[0, 3, 2, 3]""

But my reading of the question, the correct result for M is:

[0, 3, 2, 3, 0]

Am I reading the question wrong?  ","I think Dr.Martin was just making an example with 5 numbers, which are middle, first, last, second and penultimate. If your list only has 4 digits, then you get M as middle(pop), first(pop), last(pop) and the current first element, aka the penultimate element of the original list L."
"Challenges - Mean, median, and standard deviation",,
Lab2 question1,,
Sample output for quiz 2,Is there a PDF for example output for quiz 2? I can't find it in the downloads section but I thought I saw it during the lecture.,"Hi Hon, it is there now."
Standard Library,"We are allowed to use any module from the standard library for quizzes, right?","Hi Rod, the answer is yes."
Question on quiz2,"If my input is 0 1 5, and I get a list of [3]. In this case, how would the output go? My output something like this:

The fractions no greater than 1 that can be built from L, from smallest to largest, are:

3

The fraction closest to 1/2 is 3

Is this correct? Or the output should be something else?","Hi Tiancong, no, recall that all fractions evaluate to 1 at most.

The generated list is:

[3]


The fractions no greater than 1 that can be built from L, from smallest to largest, are:

1

The fraction closest to 1/2 is 1"
For Quiz2,"If 1, 3, 9, 27 exists in generated List, how many ""1/3"" should show in fraction list?

1 or 3?","Hi Haotian, just 1."
"Quiz 2, error when testing","I think there might be an error in the expected answers for the quiz, as from test 5 and after there seems to be an extra 1 for the fractions no greater than 1.

Output for test 5:

The generated list is:

[12, 13, 1]


The fractions no greater than 1 that can be built from L, from smallest to largest, are:

-    1/13  1/12  12/13

+    1/13  1/12  12/13  1

The fraction closest to 1/2 is 1/12","Indeed, we take any pair of numbers a, b in the list, with a <= b, as we do not want to get a fraction greater than 1, and that gives us a/b, that we simplify, and output only once (what is unique is the fractions that we output). So indeed, we are sure to output 1 since our list contains at least one nonzero element (otherwise we exit), that we can divide by itself."
A Word Game characters,"For the assignment, ""A Word Game,"" if a character appears only once in the input, can it be used multiple times when forming a word?","Hi Rod, no, we consume occurrences of characters in the input."
A weird issue related to online submit,"A weird issue related to online submit
","Hi Qeqiao, I can only reiterate my advice not to modify the code already written. You made it an issue."
Pivoting Die Input,Is an input of a positive integer padded with spaces valid input?,"Hi Rod, it is, spaces are ignored when converting strings to ints.

"
Rubik’s rectangle,"My problem is the code consumes lots of time when I tested. The computing complexity increases exponentially with the steps, as a result, the code failed to pass the test when I tried to submit it online. My question is should I  optimize the algorithm to decrease the running time or it is just fine as the code output is correct.","Hi Jingming, every test will be run for 30 seconds, so your code should output a solution within that time, which should be much more than necessary. We will discuss an efficient approach to the problem."
Poker Dice,"In the pdf, it is mentioned that ""No die is kept by inputting nothing"". Does nothing include a string of whitespaces? Or should it show the error message?","Hi Rod, yes, ""nothing"" includes whitespace."
for Assignment question3,"When I submit my codes, it alarms that 'run_submissions.sh: line 40:   620 Done                    { sleep 0.2; echo ""eaeo rtsmnz"" | tee -a tmp_outputs.txt; }

-        622 Killed                  | python3 highest_scoring_words.py'

What's wrong with it?

","Hi Hangyu, that means that Ed killed your program as it did not produce the output in the allocated time (30 seconds), so you need to make your code more efficient."
Quiz 2 clarification question,"Is there any possibility that number 0 will be generated into list? In that case, x/0 may occur, then I assume a fraction of 0 should be printed?","0 should be included, as one of the test cases do have 0 as an answer."
Quiz 2 question,"Can someone please explain what the line below means?

- if ""fractions"" contains then 1/2, then the fact that 1/2 belongs to ""fractions"";

The part 'contains then 1/2' is confusing.","Yes, sorry, typo, should have read: if ""fractions"" contains 1/2, ."
generating list L,"1) With the three input arguments, is it possible to generated the singleton list [0]?

2) I thought 2, 2, 2 would be a valid input, but why does the program give up on these arguments?","If you examine the code, the program may generate a list of all 0s. However, it will also exit the program and print ""failed to generate one strictly positive number, giving up."".

It's because of the check below which is already in the scaffold.\"
Trying to implement doctest,"Can the PDF provided with the quiz be used as testfile for doctest?

if __name__ == '__main__':

    f()

    import doctest

    doctest.testfile(""C:\Users\honyu\OneDrive\2017 Semester 2\COM9021 Principles of Programming\Quiz\Quiz 2\quiz_2.pdf"")

I wrote the above code for it but I receive the following error.

SyntaxError: (unicode error) 'unicodeescape' codec can't decode bytes in position 2-3: truncated \UXXXXXXXX escape

What I'm trying to do is compare my program to the output provided in the sample output PDF using doctest.","That is probably because the quote you pasted is not the ASCII quote. You often need to edit parts of what you copy and paste from a pdf, quotes in particular."
Quiz 2 Question,"0 can not be a denominator, so what will happen if the genarated list is [0, 0, 0, 0, 0], or [0] ?","If this is the case, the program exits automatically. But element 0 can be in your generated list during random generation. In that case you'll have to figure out a way to handle it in your code.The program will automatically exit. It's handled by Eric's code."
Doubt quiz 2 output,"The output shows me a error as this:-

TypeError                                 Traceback (most recent call last)

<ipython-input-76-b57ecc11b82c> in <module>()

     95 

     96 print('\nThe fractions no greater than 1 that can be built from L, from smallest to largest, are:')

---> 97 print('  ', '  '.join(e for e in fractions))

     98 #print(fractions)

     99 if spot_on:


TypeError: sequence item 0: expected str instance, int found


And if I remove this line underlined above and just write print(fractions), it works fine for me. And the output shows me in the form of this:-

The generated list is:

[12, 13, 1]


The fractions no greater than 1 that can be built from L, from smallest to largest, are:

[Fraction(1, 13), Fraction(1, 12), Fraction(12, 13), 1]

The fraction closest to 1/2 is 1/12.

So is it fine to get the output as above??",Of course the above output is not fine. Ed shows you it is not fine. You can use f to format.
Testing quiz 2,"I finished the quiz 2 and tried to test it with different input rather than the sample. 

The result shown ""Exceeded CPU Time"" when I tried to enter a length larger than 67, for example ""0 67 10"". 

Do I need to change my code to make it more efficient?","Hi Kirsti, I will not test inputs longer than 1000 but still, as a valuable exercise, you should try and improve your code and deal with lists with one million elements."
Quiz 2 Question (Ed output different from my jupyter output),"Why my Ed quiz 2 output is different with my jupyter output , both of them have the same code inputted. I copy paste the code from my jupyter into the Ed.

",I think I accidentally delete a string from a print statement. I reset the code and paste it again and it works now. Thank you.
List Comprehension vs Filter+Lambda combo,"In the Monday lecture, you showed two ways to filter, one is thru list comprehension, the other through filter + lambda. Both make sense, but I'm wondering which one would be more efficient to run from memory perspective? Which is more pythonic?","Hi Simon, if we want to answer this kind of question having time complexity in mind, then we need to run experiments and compare both constructs. The usual way to do it is to use functions from the timeitmodule. That is actually something I could show you in another Monday lecture... In terms of space complexity, both versions are essentially equivalent, being based on the iterator paradigm (something we will talk about)."
about deque,,
"Assignment 1, Q2","Just wondering, is there any hint or discussion you might have done related to Q2 of assignment 1 in your lecture? Does it involve any math or combination?","Hi Shoib, assignment 1 Q2 is to try out all patterns. Please ignore my first answer, hope it helps, thanks :)"
Assignment question4,,
"Assignment 1, Q2 submission issue",,
Solution for quiz 2 and 3,"Hello doctor Martin, may you please upload the solution for quiz 2 and 3?Thank you bery much!","Hi Xiaohui, indeed, I forgot to upload the solution to quiz 2 under Resources, though it is accessible under Assessment. Done. For quiz 3, you have to wait till I send the results out."
Slack study group,,
Lecture program source code,Where can we find the source code for the last program which we didn't finish on the lecture?,"Hi Hui, you mean vigenere_cipher.py? Part of the material for Lecture 4."
Quiz4,"I get this error in Ed while testing in Ed, although this function 'next' works fine in my local system. I am unable to sort out this issue.

Input two distinct years in the range 1990 -- 2014: 1992 -- 2000

Input a strictly positive integer: 4

Traceback (most recent call last):

File ""quiz_4.py"", line 62, in <module>

next(forestf)

File ""/usr/lib/python3.6/encodings/ascii.py"", line 26, in decode

return codecs.ascii_decode(input, self.errors)[0]

UnicodeDecodeError: 'ascii' codec can't decode byte 0xef in position 0: ordinal not in range(128)","Hi Swarna, you probably need to provide

encoding = 'utf-8'

as an argument to open()."
Quiz4,"For South Sudan, there is no data before 2011, but after 2011 it has data. How can we calculate this? Should we treat None-data as 0?

","Hi Peng, we ignore countries for which we do not have data for both years, we do not treat None-data as 0, that would be wrong."
silly doubt regarding the quiz,"Hi guys, I tried to check for quiz 4 resources under the resources and not finding any pdf with regard to expected outputs. Also when we access the data should we directly click on that link given or is it given to us like the names file used in the lecture yesterday?","Hi Sushma, had forgotten to upload the files under Resources, fixed. Both data files are provided and are supposed to be stored in the working directory."
Quiz 4 - Ratio Precision,what should be the output ratio precision?,See sample outputs.
Quiz 4 - Files assumption,"Will you be testing with different set of files say for example, files where countries are not ordered alphabetically? Or, say files wherein countries are not present from one file?","I will use precisely these two files, no others.

"
Quiz 4 - Output,"When printing the results where the number of countries is < N, do we need to change this part of the result ""Here are the top 10 countries or categories where"" to the actual number of countries? Or do we preserve N?","we do preserve N, this is implemented already, refrain the temptation to change it (I agree it could be improved...).

"
Mid-term exam time,"since the mid-exam is now approaching, when can we be advised the exact time on 8th Sept it will be held?

if not mistaken, the course outline only shows the date of the exam.

Since I have a day job, it would be greatly appreciated if the exam is to be at night time if you and other students are okay with it as it might be too late to ask for a day off now.","Hi Yunqi, booked now, 6:30 to 8:30."
Quiz 4 - Tops for Countries Same Ratio,"In case same ratio, the output would be like bellow for top 5? Countries with same ratio counts for tops correct? And also, amongst those countries with same ration, order by lexicographic


Example output Top 5:


Australia (171.43)

Iraq (171.43)

Croatia (50.57)

Azerbaijan (46.70)

Iran, Islamic Rep. (46.70)",That's exactly what the specs in the stub say.
Quiz 4,,
"Assignments, Question 3, test 10 error message",,
A question on quiz4 when top_n is too large,"In this quiz, some country do not have ratio, some country has ratio less than 0, what should we do when top_n is larger than the amount of countries that have positive ratio? Do not display these country in result?","Hi Meng, answered already, we display only the countries we found, so less than N."
Assignment1 Question2,"I had a question about the running speed of code in question 2 (assignment1).

O is the comparison group which is used for finding the same elements. If I write O =set(), O.add(M[0]), I will get the result 18 steps immediately, however if I write O = [], O.append(M[0]), the result 18 steps will appear after one and a half minute.All other codes are same. Could you please tell me why that happen?","Hi Ke, looking for an item in a set takes constant time, looking for an item in a list takes linear time on average. Here you can see the difference between both complexities at work"
Quiz 4 - Strange output,,
quiz_4 error,,
Enquiry about some extreme case,"Helllo doctor Martin, I want to inquire several extreme cases. The first one is for quiz 4 and the assignment 1.4, they both involve files, so I want to ask should I consider the FileNotFoundError for both of them? The second one is about the strictly positive n used in the assignment 1.5 as an input for the simulation, here should I also consider what if the n is not a positive integer such as blank space, negative number or string? If yes, then what kind of exit word should I type in this case since there is no such a example shown in the PDF you gave to us. Thank you for your answer and have a nice day!","Hi Xiaohui, I will not test against this.

More generally, often, even most of the time, it is perfectly fine to let Python generate the appropriate error. If we had to catch every possible error, then we would have to check that every function is called the way it is meant to be called, passing the right number of arguments, of the right type, it would result in a nightmare of a code, and it would be against Python's choice for flexibility (the so called ""duck typing"" principle)."
Lab5 Q2 permutation,"Sorry I was confused about this sentence on Lab5, Q2:

""It can be shown that the puzzle is solvable iff the permutation of the integers 1, . . . , 8, determined by reading those integers off the puzzle from top to bottom and from left to right, is even.""

Does that mean finding the positions of each rows and columns in all possible 2- or 3-permutations of [1,2,3,4,5,6,7,8]?

Take:

1 2 3

4 5 6

7 8

For example,  position of (4, 5, 6) in the total 3-permutations of [1,2,3,4,5,6,7,8] is 147.

Or did you mean mathematically P(3,3) and P(2,2) with 3 or 2 numbers respectively? Or P(3,3)/P(3,8)?

I just could not get it.....","Hi Feng, I was referring to this notion:

https://en.wikipedia.org/wiki/Parity_of_a_permutation"
Ass-5,,
quiz4 output encode (not decode) problem,"I worked out my ratio value,but if I try to output,there is an encode error:


File ""quiz_4.py"", line 140, in <module>

print('\n'.join(country for country in countries))

UnicodeEncodeError: 'ascii' codec can't encode character '\u2019' in position 486:

ordinal not in range(128)


not like the decode error(plus decoding = 'utf8'),how could I solve this?","Hi I had the same issue yesterday when I tried to print a dictionary without looping it. As in say my dictionary is dictionary. Then the following line:

print(dictionary)

was causing error.

However when I added a loop and printed the values form dictionary properly, that problem went away, as in :

for item in dictionary:

print(dictionary[item])"
Q4 - Print Countries with Ratio Zero?,"We should also prints countries with ration = 0.00 right?

for exemple, in the list bellow, Gabon should be printed correct?

Thailand (0.31)

Bhutan (0.30)

Fiji (0.25)

China (0.18)

French Polynesia (0.03)

Gabon (0.00)","Yes Jose, outputs are based on the true values, even though we limit output precision."
Quiz 4 silly doubt,,
Lab_5 : Most popular name,"I do not understand what does this mean:

""and finds out the first year when
 this name was most popular in terms of frequency of names being given"".

Is this the year in which the name had the maximum relative frequency?",Yes
PSA: Code Debugging,,
Assignment 1 Q1 Submmit issue,,
Quiz 4,"If two ratio are same, how can we order them, by lexicographic order or  original order in '.csv' document?",lexicographic order
Quiz 4 - top_n,"Q1: How should we deal with the case 'N = 0', cuz the instruction says N should be strictly positive. But the program only raises a ValueError when N < 0. Does it mean we should consider it as a legal input and output normally with 0 country?

Q2: Just to make sure if top_n is large enough (larger than the actual number of output). Should we just keep it or output an actual number instead? (e.g. top 31 countries: ... or top 10000 countries when N = 10000, actually 31 countries are printed)

They might be silly questions but do confuse me.","Hi Tianpeng, should raise exception when N == 0, sorry for this.

Q2 answered already, at least twice, do not change the output even if there are fewer countries to display."
Assignment 1 Question 4,,
Assignment 1 Q 2,,
Compsci Labs.. Idle 3.6?,"I'm in the Bongo lab today, getting familiar with the environment..

The idle version is 3.5.3. I can access python 3.6 from the prompt but the command 

>>idle 3.6

does not seem to be available.

Is there another way to access it or will we be using 3.5.3?","Hi Scott, you are right that we have python 3.6 installed on the School machines, but idle 3.5 only... :( So essentially when using idle, you need to use

'   '.format()

rather than

f'  '

Maybe that just to avoid and not waste our time with this kind of issue, I will make sure that all output does not necessitate any formatting! :)

"
Assignment 1 Question 4,"I have a question about the input of ""Which dice do you want to keep for the second / third roll ?"" . 

If the input are the combination of 'all' and another result which already generated in the first roll, does this become illegal input so I should input again, or the 'all' has been there so I could just ignore the other input and go on next step? 

You haven't mention this case in the example of simulation results, I'm confused with this.","Hi Nan, that is illegal input."
Quiz 4 Expected Output Doubt,,
Mid term test time,"At what time is our test on Friday, 8th of September?",6:30pm -- 8:40pm
Ass - 4,"I see the all possible interaction and there is no '' It is a Straight''

Therefore, is this one is only for simulate() ? or could be a possible output?","Hi Chenyang, it sure could be a possible output."
I want to check the result with you about quiz 5,"The output of 0 10 300 300 of mine is:

The number of paths from 1 to 1 is: 5463

The number of paths from 1 to 2 is: 2285

The number of paths from 1 to 3 is: 652

The number of paths from 1 to 4 is: 170

The number of paths from 1 to 5 is: 46

The number of paths from 1 to 6 is: 22

The number of paths from 1 to 8 is: 2

Are you the same?","Mine is the same as the other 3 guys:

The number of paths from 1 to 1 is: 5463

The number of paths from 1 to 2 is: 2285

The number of paths from 1 to 3 is: 651

The number of paths from 1 to 4 is: 171

The number of paths from 1 to 5 is: 46

The number of paths from 1 to 6 is: 22

The number of paths from 1 to 8 is: 2"
Ass 1 - Q4,,
Ass1 - Q2,,
assignment Q4 module error,"My program uses a module called inflect but i am not able to install it in ed,my code is running normally after i installed it in my computer,so now what's the solution?","Please do not use nonstandard modules, there is really no need for this one"
Mid-term exam Lab?,"Hi, which lab exam will be in? and how many questions will be there in the exam?","Hi, there will be I think 25 to 30 questions. "
Clarification of Quiz 5,,
Poker Dice Simulate Q,"Just doing just last minute bug-checking on my assignment programs, how should the simulate() function in poker dice behave when given incorrect input? (Strings, negatives, etc)","Answered already Scott, nothing needs to be done, won't be tested."
Assignment 1 Q 3,"Can you please help m in this regard

My code works fine on my laptop but when i upload here its giving me error

- FileNotFoundError: [Errno 2] No such file or directory: 'wordsEN.txt'",It's case sensitive. So it should be wordsEn.txt and not wordsEN.txt
Assignment 1 -Q4,,
Assignment 1 - Q4,,
ASS1 Q1,,
A error in ed,,
Midterm exam,,
1000 == 1_000?,"It probably a silly question. Is 1000 same with 1_000? I checked with edstem workspace and that said 'Same', but I'm not sure with my understanding. Thanks","Only available in 3.6 though.

https://docs.python.org/3/whatsnew/3.6.html#whatsnew36-pep515"
Lab 5 Solutions,Not sure when you usually post these up but keen to get looking at the solutions for Lab 5 and Quiz 4.,"Hi Scott, I thought I had posted them, but clearly not... Fixed, thanks."
Midsem Questions,"Confirming again the exam consists of lab1-lab4  and lab5 Q2?

Please correct me if I am wrong.","Hi Ahmed, it covers all flagged questions from the first 5 labs."
problem of ed,,
"Lab3 Question3 Finding special triples of the form (n, n + 1, n + 2)",,
quiz 5,,
Lab3 Q4, ,
Assignment 1 marks,Are you able to confirm if we will receive our assignment 1 marks before or after the mid-term exam?,"Hi Fred, not before."
lab4 pascal triangle output,,
